steps,reward,ego_speed,network_speed
500,-118.03693049229963,7.519697280421812,19.28954022104488
1000,-96.50085027156096,5.903366277202991,19.693234765746322
1500,-85.6535343950633,13.292157699007644,19.23671739629113
2000,-115.47844850716086,21.80625348238978,20.141914216891227
2500,-125.96858721930468,14.15322505808908,18.721191848677442
3000,-94.76853626817686,11.063334852470733,18.95364746182963
3500,-114.30200439473155,25.72638161336667,21.75009004670581
4000,-86.32947271250868,11.961174688191914,17.99838860955392
4500,-88.40657589192801,12.100357691443048,19.025370866375887
5000,-114.80649437161998,10.163161467429761,15.868973796825726
5500,-95.67199504086813,7.310320204467576,19.745739323821972
6000,-92.89175787243576,7.875309159242399,18.764656011029494
6500,-95.46795192528386,7.12568074049489,18.327987195189184
7000,-89.25897489030683,9.80026242942193,19.305825328609156
7500,-92.24299671297987,9.110801431128875,18.376075021053072
8000,-90.19057750675051,11.269668134882277,18.238316950733328
8500,-81.69988468119496,17.455928731908404,19.994929603588677
9000,-90.03644883447598,11.274394744644292,19.297505228694614
9500,-93.81642635663515,9.055973325968441,18.47228102626196
10000,-87.16847659123223,13.01096698819632,19.414479526936194
10500,-85.37352704420763,16.027655378946793,20.192686152341295
11000,-90.51933359513919,10.427317196940187,19.049785965284133
11500,-84.69867164754895,13.61342656682872,17.774667747138594
12000,-87.5268982024834,12.792606237660308,20.350378454380397
12500,-93.96389307841558,7.3872982420332,18.3939395581591
13000,-94.35149384033173,7.031378421100237,19.745597229906732
13500,-88.39123672960153,12.517590991641834,18.39617424986143
14000,-93.93374883916815,8.022655539836164,17.47698956700474
14500,-92.42340929509064,9.051212937388325,18.746086296296852
15000,-96.41907930537383,6.412115479371395,19.039785876919233
15500,-92.71938154589554,9.026594687096264,19.5638683014938
16000,-97.15596119126839,6.221190356780953,19.21329183653988
16500,-93.4687125759765,8.742690747917196,18.477257092880496
17000,-92.4373943623008,9.240322504661382,18.301878456910227
17500,-91.207149938111,8.640520139408789,18.632094814262995
18000,-95.03891576609432,6.866090502982025,17.841741624638296
18500,-90.50393546906417,9.411957423160207,16.994241498542692
19000,-95.82460821803507,7.488271337559252,19.755830785587595
19500,-96.11234371290435,6.436756610457455,18.61743320480881
20000,-120.35453700626537,6.551697145040294,18.713988080924334
20500,-314.39087582471274,24.50776162342907,21.60652109013105
21000,-224.44660000859383,28.486997693741152,22.775656762678942
21500,-94.80305806295974,6.238646880935081,19.452416295549046
22000,-120.14740944830783,6.758149857871157,16.861308811414524
22500,-88.96841920320047,10.513154517850651,19.95723914476211
23000,-92.3330413817492,8.546739026268229,17.321266030962782
23500,-117.72943487810628,9.290768615091544,17.774964160521357
24000,-94.20731400289719,7.015807235771066,18.513253430464147
24500,-95.50147171765528,7.191082593846285,19.603755867908482
25000,-92.61910978906502,8.442606695642628,19.97027998442373
25500,-119.95639542263532,7.161478576435562,18.20329203342618
26000,-95.14271783147677,6.895258540288887,18.69116368675054
26500,-96.2041653387685,6.753181516301252,18.119468104618676
27000,-91.98544154970054,9.701079834779673,20.60780413867389
27500,-95.61367531098028,6.708337020915539,19.647317445750556
28000,-92.79819370481634,8.777241465920246,19.82719603141984
28500,-93.94067383765638,8.14617001043477,18.566241367710603
29000,-94.26226899587984,7.592113752143131,17.820646010935718
29500,-120.5213614588636,7.76930344731306,19.168336750080748
30000,-93.50655669988652,7.96345265845224,17.40835736085691
30500,-96.68912276605613,7.011674221729028,17.77631114607491
31000,-145.0220696583879,7.4876030932086834,17.609904256805393
31500,-95.78926901800796,6.4654693082774335,19.728424060238584
32000,-96.61485468082152,6.2559878856501605,20.203874726779695
32500,-96.19862855180433,6.8701135098307144,19.39602917690161
33000,-93.2313768926856,8.335806323602394,18.99824237765271
33500,-92.94802074558216,8.29871459156577,18.764830882404745
34000,-95.76459351263102,6.621907355249515,18.571776040431132
34500,-95.59545771464889,7.037540139978773,18.69348179976773
35000,-94.20328693992708,7.839090654060151,17.94969137509445
35500,-96.0850236989485,6.495516546402487,17.708183742221422
36000,-94.91861534877306,7.401442312216723,18.464767430580373
36500,-94.95982019962243,7.324039787035232,16.78484185940026
37000,-96.03616428909332,6.584379553042155,18.592928176889792
37500,-94.59769261268879,7.907298107851198,19.595043183383986
38000,-95.0111528700328,7.568598900255637,17.879992807385637
38500,-95.79930323892837,6.926567235736996,17.784247170531426
39000,-95.4029944058275,6.991925107382404,18.94589294523302
