time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,network_speed,ego_speed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate
0,227,56.75,-107.465769,598,4,23.451156833188712,20.909296392131033,,,,,
3,654,81.75,-114.71034399999999,202,8,25.215853394095884,26.86375426979468,0.46698182821273804,63,-2.088688850402832,0.9611911177635193,0.0005
4,891,74.25,-105.07459449999999,212,12,25.194939154654598,27.466432401795558,118.79999542236328,122,-1.857382893562317,0.9181322455406189,0.0005
7,1313,82.0625,-103.57950500000001,166,16,23.214570297614024,24.900982245592793,40.13899230957031,228,-1.6279866695404053,0.8429740071296692,0.0005
9,1549,77.45,-100.02666885000001,158,20,23.72386879812261,14.549567547166573,2.351114273071289,287,-1.7038662433624268,0.8031394481658936,0.0005
12,2030,84.58333333333333,-95.19802004166668,165,24,20.163570803768742,11.843678193894375,1.3159582614898682,407,-1.5000836849212646,0.7249656915664673,0.0005
13,2266,80.92857142857143,-97.67790846428575,171,28,23.094147635492753,14.378077736011322,37.806053161621094,466,-1.10847806930542,0.6897754669189453,0.0005
15,2550,79.6875,-92.93708556250002,167,32,24.36485648719265,21.63453765019951,156.181396484375,537,-0.900585949420929,0.6502599120140076,0.0005
16,2782,77.27777777777777,-88.66666713888888,171,36,19.24154170079657,11.857995806884515,78.13187408447266,595,-1.3079562187194824,0.6200881004333496,0.0005
16,2954,73.85,-87.894428325,174,40,19.393736261110345,14.839768433736637,117.66636657714844,638,-1.348757266998291,0.598764181137085,0.0005
19,3371,76.61363636363636,-86.14861997727273,171,44,22.609249075951116,13.399567438424366,76.4038314819336,742,-1.2429001331329346,0.5501587390899658,0.0005
20,3511,73.14583333333333,-86.00042320833332,170,48,21.807562808990916,20.30477430455826,147.52056884765625,777,-0.19465377926826477,0.53458571434021,0.0005
21,3634,69.88461538461539,-88.09151376923077,171,52,21.07533368881822,22.352174645551184,116.42263793945312,808,0.03137197345495224,0.5211805701255798,0.0005
21,3776,67.42857142857143,-90.16235617857144,173,56,22.889628828321676,21.44013594978922,62.34410858154297,843,0.7388912439346313,0.5063843727111816,0.0005
24,4150,69.16666666666667,-88.16955461666667,170,60,20.97000753276132,14.900054900034206,177.41357421875,937,0.5587037801742554,0.46853604912757874,0.0005
25,4438,69.34375,-91.24131553125001,173,64,21.559893734377148,14.547809909090686,252.41351318359375,1009,0.4979487955570221,0.4415327310562134,0.0005
27,4675,68.75,-90.9235128529412,169,68,18.28514086382941,19.308734147780406,176.21469116210938,1068,0.13590939342975616,0.42070743441581726,0.0005
28,4934,68.52777777777777,-90.71217866666667,172,72,17.458616032161892,8.035017237546091,123.84756469726562,1133,0.4468339681625366,0.3990812599658966,0.0005
31,5234,68.86842105263158,-92.05338469736841,168,76,21.081704969636455,10.734014922607672,142.19625854492188,1208,1.177272081375122,0.3755742907524109,0.0005
34,5583,69.7875,-92.0590624125,163,80,19.10154842375976,12.060327085047112,109.51000213623047,1295,1.9043986797332764,0.350023090839386,0.0005
34,5746,68.4047619047619,-91.4278249047619,165,84,20.3597496709567,15.516720932514305,106.89883422851562,1336,3.690774917602539,0.33861809968948364,0.0005
35,5972,67.86363636363636,-91.00250979545454,167,88,20.838181095589714,18.938529639980548,38.403892517089844,1392,1.4255475997924805,0.3236878216266632,0.0005
38,6252,67.95652173913044,-92.01613455434781,163,92,21.833363030997265,9.823995536592594,165.47250366210938,1462,1.563513994216919,0.3059757947921753,0.0005
41,6771,70.53125,-92.15528878125001,161,96,21.149576225516114,8.467395064381336,197.86599731445312,1592,1.737971544265747,0.27575382590293884,0.0005
44,7032,70.32,-91.91539850000002,158,100,22.72433341930835,10.081149788321946,69.89833068847656,1657,1.901106595993042,0.2618905007839203,0.0005
45,7330,71.03,-91.17724311,160,104,19.569821710461966,15.147452028219462,73.56806182861328,1732,3.305147171020508,0.246795192360878,0.0005
47,7532,68.78,-89.58454278,158,108,23.750988795060756,23.96099422095476,7.352101802825928,1782,1.5551731586456299,0.2372417449951172,0.0005
48,7727,68.36,-89.33849292,159,112,22.645742890775313,21.32648809908077,119.91919708251953,1831,1.7422689199447632,0.2282213270664215,0.0005
49,7868,65.55,-88.5257653,160,116,19.089338344339243,17.921898790579633,68.796875,1866,1.7472434043884277,0.22203516960144043,0.0005
51,8125,65.76,-88.52724003999998,158,120,21.154582115189246,9.103063541979287,122.60325622558594,1931,4.9406538009643555,0.21101313829421997,0.0005
52,8489,64.59,-90.38545075999998,161,124,22.438856346039493,6.638752112586873,116.70072937011719,2022,4.6076812744140625,0.19654686748981476,0.0005
54,8829,65.63,-89.33515761999999,161,128,20.591273620528842,16.612661609709804,68.18226623535156,2107,3.745621681213379,0.18394167721271515,0.0005
56,9000,64.5,-90.07567114000001,159,132,23.017539150490578,24.54227613673311,46.308006286621094,2149,2.6439239978790283,0.17804822325706482,0.0005
57,9212,64.3,-91.1556725,160,136,21.958604311983112,8.458403741025025,42.75751495361328,2202,3.471007823944092,0.17092564702033997,0.0005
59,9549,65.95,-91.45562156,159,140,20.8718718863795,17.129351514641048,49.10167694091797,2287,5.689072132110596,0.16020604968070984,0.0005
