time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/n_updates,network_speed,ego_speed
5930,4,896,-153.38190625,0,24.75,,,,,,,
842,8,1088,-160.21702249999998,1,27.875,-2.142668195068836,0.0005,207.79729726165533,0.981711195781827,64,,
862,12,1504,-155.9195890833333,1,30.0,-2.1081598103046417,0.0005,197.93432610854506,0.9369626110419631,128,,
825,16,1792,-150.60064306249998,2,33.9375,-1.734792461618781,0.0005,174.169308219105,0.8897203421220183,192,,
718,20,2144,-130.21082909090907,2,38.45454545454545,-1.13840386364609,0.0005,172.55624451115727,0.79930623434484,320,,
727,24,2176,-128.38249399999998,2,38.291666666666664,,,,,,,
699,28,2368,-119.79998857142857,3,42.25,-1.0608731182292104,0.0005,148.19640569388866,0.7568583823740482,384,25.847656810801837,25.7894346932692
665,32,2784,-119.27299318749999,4,42.3125,-0.6801594397984445,0.0005,189.99306396394968,0.7168454891070724,448,,
671,36,3040,-107.20475327777777,4,46.02777777777778,-0.6795637578470632,0.0005,156.65545108169317,0.6793488571420312,512,,
656,40,3168,-110.714672175,4,45.875,-0.3933803867548704,0.0005,187.6759700588882,0.643917697481811,576,,
652,44,3360,-109.20962306666667,5,48.022222222222226,-0.30229027540190145,0.0005,178.94838739931583,0.6105981199070811,640,,
676,48,3520,-106.68317372916665,5,48.875,,,,,,,
673,52,3776,-108.85141140384614,5,47.76923076923077,-0.029278815200086683,0.0005,207.9047610759735,0.5791123220697045,704,,
651,56,4192,-111.38007756140351,6,46.578947368421055,0.055168805964058265,0.0005,209.81805083155632,0.520878916606307,832,,
648,60,4448,-114.17954940000003,6,47.2,0.5192418237566017,0.0005,234.77146679908037,0.4940231367945671,896,,
667,64,4608,-119.13121109375,6,46.75,,,,,,19.444756998323278,10.68746910473285
647,68,4736,-121.20924714705882,7,45.661764705882355,0.5830329112941399,0.0005,225.09273018687963,0.46850018575787544,960,,
640,72,4960,-122.72888934722222,7,46.18055555555556,0.8113097276072949,0.0005,232.0429940968752,0.44429501751437783,1024,,
602,76,5056,-121.70612036363637,8,47.02597402597402,,,,,,,
594,80,5216,-120.53978668750001,8,47.9,0.8482268064981326,0.0005,252.79113453626633,0.4213391412049532,1088,,
591,84,5440,-118.14678363095241,9,50.88095238095238,0.9107988813193515,0.0005,249.7592647075653,0.39956348203122616,1152,,
606,88,5600,-117.13421503409091,9,49.85227272727273,,,,,,,
606,92,5856,-117.63122747826088,9,49.96739130434783,0.776340626005549,0.0005,226.75293357670307,0.37890013260766864,1216,,
604,96,6240,-115.93975989690723,10,51.56701030927835,0.6743403861182742,0.0005,175.8591751307249,0.34081519953906536,1344,22.91347173970616,17.83951142372783
614,100,6560,-115.31458531000003,10,52.71,0.9578293615486473,0.0005,221.30744440853596,0.3232766119763255,1408,,
615,104,6784,-115.80716127000001,11,55.43,1.0534031445859,0.0005,254.22811526060104,0.30676165129989386,1472,,
622,108,6880,-110.08193775,11,56.58,,,,,,,
617,112,7008,-109.30380054999999,11,56.35,1.0054212008835748,0.0005,225.2036449611187,0.2911796746775508,1536,27.52196968340323,29.96504233051568
628,116,7168,-106.7407556,11,56.4,,,,,,,
631,120,7424,-107.75824811000001,11,56.08,1.0181397901615128,0.0005,222.06221795082092,0.2764748241752386,1600,,
611,124,7680,-112.23265221,12,56.26,0.889189783774782,0.0005,205.10568518936634,0.2625826164148748,1664,,
601,128,7808,-119.28209408999999,12,54.14,1.1667405860498548,0.0005,225.93270534276962,0.24937796802259982,1728,,
606,132,7872,-118.48197833,12,54.71,,,,,,,
607,136,8160,-124.73138872999998,13,52.85,1.4988108433317393,0.0005,260.5343911796808,0.236867215950042,1792,22.625449169246465,15.123511177716722
601,140,8320,-121.72652028,13,53.3,1.1799325672909617,0.0005,218.25686621665955,0.22504414059221745,1856,,
597,144,8512,-119.18809813999998,14,52.55,1.3184155110502616,0.0005,240.06270840764046,0.21383209200575948,1920,,
595,148,8736,-121.04687000999998,14,51.15,1.5281106238253415,0.0005,238.982276186347,0.20320870936848223,1984,,
608,152,8960,-120.66868346000001,14,52.13,,,,,,22.55419318799894,29.705455267059655
608,156,9216,-123.24376645000001,15,51.85,1.4182756149675697,0.0005,244.0229285955429,0.19314549560658634,2048,,
604,160,9408,-120.23157961000001,15,51.62,1.3570179778616875,0.0005,257.97786861658096,0.1836357086431235,2112,,
600,164,9600,-113.64420590000002,15,52.6,1.4297575033269823,0.0005,235.64450001716614,0.17464372119866312,2176,,
596,168,9760,-112.04227251999998,16,54.58,1.5885859082918614,0.0005,219.3161492049694,0.1661426736973226,2240,,
604,172,9920,-109.83152821999998,16,53.61,,,,,,,
599,176,10016,-109.63995152,16,53.61,1.6248813178390265,0.0005,254.19505310058594,0.15808886685408652,2304,22.758770808859087,25.561187605084744
594,180,10144,-110.39923806,17,51.84,,,,,,,
597,184,10400,-111.27313243999997,17,48.91,1.638507383177057,0.0005,247.76962187886238,0.15044557652436197,2368,,
601,188,10496,-110.32879023,17,49.86,,,,,,,
598,192,10624,-111.5022504,17,49.54,1.4991137594915926,0.0005,245.76136015355587,0.1431979921180755,2432,,
604,196,10752,-111.35182667000001,17,49.53,,,,,,,
597,200,10816,-107.33670056999999,18,47.77,1.6232361240545288,0.0005,220.5347198843956,0.13629837660118937,2496,24.719857801266897,29.358821761759682
600,204,10880,-107.56421605,18,45.59,,,,,,,
606,208,11008,-109.36917237999998,18,46.25,,,,,,,
