run_name,training_seed,collision_reward,offramp_reward,evaluation_seed,crashrate,mergerate,ego_speed,network_speed,other_crashrate,evaluation_episodes,evaluation_seconds,model_path
Aug_27_18_31_59_collision_offramp_sweep_84,,100,0,2032,0.036,0.935,23.18777188721684,20.525136629810902,0.003,1000,65.1482183933258,results/Aug_27_18_31_59_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_31_59_collision_offramp_sweep_84,,100,0,3032,0.045,0.924,23.2550936573069,20.513850760672618,0.001,1000,65.3723406791687,results/Aug_27_18_31_59_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_31_59_collision_offramp_sweep_84,,100,0,4032,0.052,0.916,23.098726595265664,20.48812523910852,0.004,1000,65.25329637527466,results/Aug_27_18_31_59_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_32_30_collision_offramp_sweep_84,,100,25,32,0.006,0.991,20.585577470136005,19.851085418045663,0.003,1000,75.10730791091919,results/Aug_27_18_32_30_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_32_30_collision_offramp_sweep_84,,100,25,1032,0.014,0.981,20.320664790639494,19.795153541385275,0.007,1000,75.79420900344849,results/Aug_27_18_32_30_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_32_30_collision_offramp_sweep_84,,100,25,2032,0.01,0.989,20.566794674603425,19.876505582098115,0.001,1000,75.2257571220398,results/Aug_27_18_32_30_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_32_30_collision_offramp_sweep_84,,100,25,3032,0.007,0.992,20.74697519266999,19.854686952534514,0.001,1000,74.26277780532837,results/Aug_27_18_32_30_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_32_30_collision_offramp_sweep_84,,100,25,4032,0.008,0.988,20.595796400133228,19.815221630131873,0.004,1000,75.12206244468689,results/Aug_27_18_32_30_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_07_collision_offramp_sweep_84,,100,50,32,0.009,0.984,20.703716874592452,19.90351540127017,0.003,1000,74.04416370391846,results/Aug_27_18_33_07_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_07_collision_offramp_sweep_84,,100,50,1032,0.013,0.975,20.39173929191033,19.823087873576096,0.006,1000,76.07804036140442,results/Aug_27_18_33_07_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_07_collision_offramp_sweep_84,,100,50,2032,0.013,0.981,20.70415808228061,19.876470952190356,0.004,1000,74.27978324890137,results/Aug_27_18_33_07_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_07_collision_offramp_sweep_84,,100,50,3032,0.011,0.976,20.740478644974388,19.865365341134797,0.001,1000,74.58201766014099,results/Aug_27_18_33_07_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_07_collision_offramp_sweep_84,,100,50,4032,0.009,0.975,20.614960569247785,19.82646054258804,0.005,1000,74.999196767807,results/Aug_27_18_33_07_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_16_collision_offramp_sweep_84,,100,100,32,0.012,0.984,18.202653498467548,19.42569309462255,0.003,1000,83.821115732193,results/Aug_27_18_33_16_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_16_collision_offramp_sweep_84,,100,100,1032,0.01,0.986,17.98634098136387,19.394631500444916,0.006,1000,86.10706853866577,results/Aug_27_18_33_16_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_16_collision_offramp_sweep_84,,100,100,2032,0.018,0.98,18.182531617566852,19.397621758794436,0.002,1000,84.7091736793518,results/Aug_27_18_33_16_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_16_collision_offramp_sweep_84,,100,100,3032,0.011,0.987,18.12970105310882,19.378826486612763,0.001,1000,84.74884629249573,results/Aug_27_18_33_16_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_16_collision_offramp_sweep_84,,100,100,4032,0.017,0.98,18.11246518468853,19.412505144747126,0.003,1000,83.52731847763062,results/Aug_27_18_33_16_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_44_collision_offramp_sweep_84,,100,200,32,0.022,0.974,16.445644658674635,19.205743009093215,0.004,1000,92.67665719985962,results/Aug_27_18_33_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_44_collision_offramp_sweep_84,,100,200,1032,0.016,0.979,16.437765574094332,19.17152698539595,0.006,1000,92.75298500061035,results/Aug_27_18_33_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_44_collision_offramp_sweep_84,,100,200,2032,0.02,0.98,16.379200452891308,19.18061670979585,0.002,1000,92.90744805335999,results/Aug_27_18_33_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_44_collision_offramp_sweep_84,,100,200,3032,0.024,0.974,16.334043302189286,19.146479445335306,0.002,1000,92.51310467720032,results/Aug_27_18_33_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_33_44_collision_offramp_sweep_84,,100,200,4032,0.023,0.972,16.420612322676366,19.17333268212034,0.007,1000,93.08129477500916,results/Aug_27_18_33_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_48_collision_offramp_sweep_84,,200,0,32,0.01,0.978,20.923983741415764,19.969222838418194,0.002,1000,74.33865857124329,results/Aug_27_18_36_48_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_48_collision_offramp_sweep_84,,200,0,1032,0.017,0.959,20.689410405849397,19.893787042502307,0.006,1000,74.45658469200134,results/Aug_27_18_36_48_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_48_collision_offramp_sweep_84,,200,0,2032,0.005,0.974,20.994088166414354,19.959804200256684,0.001,1000,74.03261137008667,results/Aug_27_18_36_48_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_48_collision_offramp_sweep_84,,200,0,3032,0.013,0.973,21.02529588653811,19.93170584694368,0.001,1000,73.47429728507996,results/Aug_27_18_36_48_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_48_collision_offramp_sweep_84,,200,0,4032,0.019,0.972,21.035563491183126,19.946553402572437,0.003,1000,73.87205696105957,results/Aug_27_18_36_48_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_52_collision_offramp_sweep_84,,200,25,32,0.021,0.976,20.00368562685639,19.772128535809287,0.002,1000,76.17622256278992,results/Aug_27_18_36_52_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_52_collision_offramp_sweep_84,,200,25,1032,0.025,0.971,19.796762023441904,19.73091956706252,0.006,1000,77.31461191177368,results/Aug_27_18_36_52_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_52_collision_offramp_sweep_84,,200,25,2032,0.018,0.981,20.017321549177943,19.764161733729512,0.003,1000,76.15941500663757,results/Aug_27_18_36_52_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_52_collision_offramp_sweep_84,,200,25,3032,0.014,0.984,20.026297610203734,19.758866172014145,0.001,1000,76.24377107620239,results/Aug_27_18_36_52_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_36_52_collision_offramp_sweep_84,,200,25,4032,0.019,0.977,19.952167729488824,19.7446326569941,0.005,1000,76.87767171859741,results/Aug_27_18_36_52_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
