rollout/ep_rew_mean,time/total_timesteps,time/fps,ego_speed,time/time_elapsed,rollout/ep_len_mean,network_speed,time/episodes,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
-201.86024725,608,403,29.021103164209986,1,16.5,23.72059287514671,4,,,,,,
-202.713585625,704,456,,1,18.875,,8,,,,,,
-203.18820033333336,832,522,,1,20.833333333333332,,12,,,,,,
-191.1234323888889,1024,415,26.141973353428355,2,23.333333333333332,23.38524513377976,16,,,,,,
-181.4129259,1088,369,,2,24.4,,20,0.0005,0.9836026765406132,64,-0.03223982892723143,-1.5068764686584473,598.0285946130753
-175.14557132000004,1184,395,,2,26.8,,24,,,,,,
-172.30791953571432,1344,399,,3,28.25,,28,0.0005,0.9490120951086283,128,-0.12995495810173452,-0.6396047924063168,551.8686685413122
-158.60633946875,1504,436,,3,29.5625,,32,,,,,,
-161.10055144444445,1728,358,,4,29.416666666666668,,36,0.0005,0.9123044367879629,192,-0.28929731249809265,0.07087651285110041,565.1034734845161
-153.51422005,1984,379,,5,30.575,,40,0.0005,0.8759347265586257,256,-0.46639871317893267,-0.06974020230700262,489.95474284887314
-147.20834731111108,2496,323,21.613714326934083,7,31.488888888888887,23.57856092524845,44,0.0005,0.8089377135038376,384,-0.7923527033999562,-0.010288453515386209,409.18755489587784
-139.45289347916665,2560,291,,8,32.479166666666664,,48,,,,,,
-134.89565515384612,2688,292,,9,33.40384615384615,,52,0.0005,0.7798892231658101,448,-0.9700573515146971,-0.07273950008675456,373.9764532446861
-133.2210911785714,2752,298,,9,34.44642857142857,,56,,,,,,
-124.8533840333333,2912,302,,9,35.53333333333333,,60,0.0005,0.7508541224524379,512,-1.1611172575503588,0.34357624893891625,423.76745653152466
-125.515205171875,3296,271,,12,35.640625,,64,0.0005,0.7233250671997666,576,-1.420530442148447,0.293587382795522,371.61456164717674
-125.94076558823527,3584,248,,14,36.14705882352941,,68,0.0005,0.6953347008675337,640,-1.6989981513470411,0.19844925968209282,364.42176653444767
-123.52172355555552,3744,247,,15,37.916666666666664,,72,0.0005,0.6686019534245133,704,-1.9300707187503576,0.325400106201414,317.0074091255665
-125.35919328571426,3872,246,18.937072398752505,15,38.45454545454545,22.765958817004076,76,0.0005,0.6422862773761153,768,-2.2241668086498976,0.5578888963209465,354.78821389377117
-124.79469847499999,3936,249,,15,38.4375,,80,,,,,,
-123.6045419647059,4288,219,,19,40.05882352941177,,84,0.0005,0.6173624414950609,832,-2.49713190831244,0.8061328590847552,334.65966778993607
-125.61484731818179,4704,197,,23,40.30681818181818,,88,0.0005,0.5704663163051009,960,-2.8731425255537033,0.7140524773567449,280.5426829904318
-125.35310479347824,5088,209,25.94410120259943,24,40.40217391304348,22.03878335346203,92,0.0005,0.550300351344049,1024,-3.1407107040286064,0.9521790784783661,314.53186333179474
-124.92027187500001,5632,181,,31,41.302083333333336,,96,0.0005,0.5086449505761266,1152,-3.9912890270352364,1.158524479251355,299.6064497232437
-126.27094171,6112,192,,31,42.54,,100,0.0005,0.4705195724964142,1280,-4.813115295022726,1.1226179073564708,277.8771461844444
-123.76996324000001,6496,188,,34,45.13,,104,0.0005,0.4349557147361338,1408,-5.249334365129471,1.0267854690318927,237.78818859159946
-121.08406735999999,6880,183,,37,47.98,,108,0.0005,0.41781103564426303,1472,-6.227135233581066,0.9211734996933956,259.3075583577156
-118.63929272,7200,183,,39,49.93,,112,0.0005,0.38638918614014983,1600,-6.4675343707203865,0.9846144216135144,237.39167594909668
-116.69845832000001,7616,191,,39,52.46,,116,0.0005,0.3720578234642744,1664,-6.9616235345602036,0.9877675687894225,209.95433849096298
-118.60088784999999,7808,186,,41,53.87,,120,0.0005,0.35736116068437696,1728,-7.043711923062801,1.0261421228642575,206.0501119196415
-117.77565408000001,8064,189,,42,54.48,,124,0.0005,0.3441821481101215,1792,-8.073683567345142,1.3728759547229856,213.11113237589598
-120.28643227999997,8352,185,7.047616326543225,44,56.74,15.348103951349811,128,0.0005,0.3310806821100414,1856,-7.481438621878624,1.0670367958955467,199.25454346835613
-121.48964833,8672,191,,45,60.26,,132,0.0005,0.3190397499129176,1920,-8.589205257594585,1.3636188795790076,208.17921623587608
-121.70854156000001,9024,186,,48,62.78,,136,0.0005,0.294963413849473,2048,-8.837097890675068,1.5973777566105127,204.50796589255333
-124.28200538000002,9184,189,,48,63.74,,140,,,,,,
-125.70622756999997,9376,183,,51,64.94,,144,0.0005,0.28364755725488067,2112,-11.195224404335022,1.3570444252691232,194.35002751648426
-130.87232164,9536,185,21.03408760002253,51,66.33,21.298003685894624,148,0.0005,0.27254917193204165,2176,-10.519204139709473,1.3028478133492172,187.8464860022068
-130.05375345000002,9792,183,,53,66.12,,152,0.0005,0.2623090739361942,2240,-11.005394235253334,1.6889447611756623,190.33562342077494
-130.93885383999998,9920,185,,53,68.04,,156,,,,,,
-137.38766277,10048,186,,53,67.83,,160,0.0005,0.2521673175506294,2304,-11.995101034641266,1.6187150082550943,213.81074181199074
-135.04112554999998,10240,186,,54,68.01,,164,,,,,,
-132.72631138,10464,189,,55,70.17,,168,0.0005,0.2421089387498796,2368,-12.27082821726799,1.578720312565565,219.28019297122955
-135.41543268,10528,189,25.337141747909484,55,70.3,24.896855469351653,172,0.0005,0.23274195450358093,2432,-13.10710833966732,1.4656280518975109,174.78642211854458
-135.45894471000003,10848,191,,56,71.17,,176,0.0005,0.22397357551380992,2496,-12.78782770037651,1.7523951893672347,199.0427987575531
-137.57511608000002,11104,193,,57,71.47,,180,0.0005,0.2155803896021098,2560,-13.696584954857826,1.7957898061722517,202.5650211274624
-137.90045851,11360,190,,59,69.89,,184,0.0005,0.20757344318553805,2624,-13.86074760556221,1.6468975907191634,172.1263189315796
-135.46771872,11488,192,,59,69.38,,188,,,,,,
-136.50230482999999,11712,195,22.863068002078897,60,69.67,25.134143273692644,192,0.0005,0.2000907496549189,2688,-14.0410026460886,1.5739192143082619,138.56030474603176
-135.03008305999998,11872,192,,61,68.78,,196,0.0005,0.19267952535301447,2752,-15.894208684563637,1.8941419213078916,204.7203683257103
-134.88822240000002,12128,195,,62,68.44,,200,0.0005,0.18501602276228368,2816,-17.120482683181763,1.8813003348186612,180.71230870485306
-134.57179896,12352,194,,63,66.87,,204,0.0005,0.17765044188126922,2880,-17.600786238908768,1.9155920688062906,191.45582902431488
-135.79486914999998,12640,197,,63,65.48,,208,0.0005,0.17067237943410873,2944,-17.836947351694107,2.00167753174901,180.75212720036507
-133.62157040999998,12992,198,,65,64.07,,212,0.0005,0.16415218356996775,3008,-19.461882576346397,2.109493998810649,204.60834157466888
-132.86069201,13120,199,,65,62.12,,216,0.0005,0.15743097010999918,3072,-20.178473204374313,2.17183677572757,175.06004670262337
-129.61147104,13248,200,,65,62.06,,220,,,,,,
-130.82543439,13344,198,,67,62.62,,224,0.0005,0.15124039398506284,3136,-21.098351508378983,2.1623684987425804,176.77993696928024
-130.94614629,13568,201,,67,62.14,,228,,,,,,
-132.7645273,13888,201,,68,58.44,,232,0.0005,0.1397805018350482,3264,-21.165173143148422,2.158464815467596,184.28924590349197
-130.12779742,14048,203,,69,56.83,,236,,,,,,
-130.96315792,14336,202,,70,56.22,,240,0.0005,0.1345978481695056,3328,-22.388427019119263,2.2360053481534123,179.77503180503845
-131.51135671000003,14496,203,,71,56.05,,244,0.0005,0.12946356576867402,3392,-22.206950575113297,2.175097992643714,139.20022705197334
-130.1469154,14816,207,,71,55.19,,248,0.0005,0.12476335500832647,3456,-22.920079201459885,2.262393608689308,167.89195048809052
-129.76976571,15008,204,,73,55.04,,252,0.0005,0.12010785727761686,3520,-24.359287202358246,2.3363239653408527,145.11879819631577
-128.69103235,15232,206,,73,52.54,,256,0.0005,0.11572159512434155,3584,-24.777569711208344,2.4078049454838037,169.12966403365135
-126.26254027,15392,204,,75,53.0,,260,0.0005,0.11148177937138826,3648,-23.900627851486206,2.2456704024225473,137.95735213160515
-127.70635238999999,15584,207,,75,51.71,,264,,,,,,
-126.82244864999998,15680,207,,75,50.7,,268,0.0005,0.10753755329642445,3712,-25.93640211224556,2.1400980055332184,135.81092438101768
-128.23669944000002,15872,207,7.33411487529898,76,51.98,19.425857540177997,272,,,,,,
-130.09367985999998,15936,206,,77,51.89,,276,0.0005,0.1035286666592583,3776,-27.631771087646484,2.3845351077616215,170.99895137548447
-127.31685189999999,16128,208,,77,51.55,,280,,,,,,
-128.53268055,16448,204,,80,52.37,,284,0.0005,0.09603626711759716,3904,-28.79737749695778,2.4479490518569946,151.43891297280788
-128.45527778999997,16672,206,,80,52.36,,288,0.0005,0.0924748161341995,3968,-28.78099563717842,2.5782321160659194,164.25040689110756
-126.79592573000004,16800,207,,80,52.38,,292,,,,,,
-127.4051309,16928,204,29.89009517470215,82,52.06,24.97417925148152,296,0.0005,0.08904180803801864,4032,-31.8847077190876,2.847106607630849,176.4383519589901
-125.92759200999997,17120,206,,82,51.29,,300,,,,,,
-126.80251791,17312,207,,83,51.94,,304,0.0005,0.0856416339520365,4096,-30.60057744383812,2.4765380453318357,126.74932926893234
-124.96772418,17472,205,,85,52.07,,308,0.0005,0.08250884711742401,4160,-32.9981527030468,2.6276700161397457,139.89228332042694
-126.34514712000001,17824,207,,85,51.14,,312,0.0005,0.07945047237444669,4224,-31.802838683128357,2.677354684099555,142.67452383041382
-126.71902825000002,17952,204,,87,50.92,,316,0.0005,0.0764048423152417,4288,-38.17467051744461,2.6929912958294153,157.55203425884247
-127.64733545000001,18144,206,,87,49.59,,320,,,,,,
-126.20236684,18432,206,,89,48.86,,324,0.0005,0.07336243835743517,4352,-34.561424881219864,2.7170034777373075,161.0271020233631
-123.18668126,18688,208,18.887822275657385,89,46.97,24.479605851044298,328,0.0005,0.07071553624700755,4416,-37.61919981241226,2.781260373070836,126.69855642318726
-123.38296709999999,18816,208,,90,46.96,,332,0.0005,0.0680044291075319,4480,-38.43317872285843,2.7719496488571167,148.98062428832054
-125.79161032999998,19040,208,,91,48.45,,336,0.0005,0.0654400554485619,4544,-39.47450119256973,2.935838522389531,158.06228747963905
-126.84272338000001,19232,209,,91,49.04,,340,0.0005,0.0629779317532666,4608,-38.39240524172783,2.608180433511734,121.84048044681549
-127.64795368000001,19488,208,,93,49.39,,344,0.0005,0.060708662611432374,4672,-39.77822995185852,2.8330207988619804,130.1226713359356
-130.75227439,19648,209,,93,49.7,,348,,,,,,
-131.00639773000003,19840,210,29.769915461981576,94,49.68,24.219705062770238,352,0.0005,0.05853991344338283,4736,-38.8090523481369,2.874170619994402,146.41536469757557
-133.34905807,20032,208,,96,50.25,,356,0.0005,0.05646721244556829,4800,-40.17098259925842,2.935798382386565,135.10090118646622
-133.63036025000002,20160,209,,96,49.39,,360,,,,,,
-136.92373315,20448,211,,96,50.32,,364,0.0005,0.054446878493763506,4864,-43.13001847267151,2.8769572898745537,155.24126714468002
-136.90498158999998,20640,210,,98,49.27,,368,0.0005,0.052528289845213294,4928,-41.69297409057617,3.013896629214287,153.34840241074562
-134.76491977,20800,211,29.407003747324342,98,47.49,25.5019491775168,372,0.0005,0.05065416591241956,4992,-43.979563891887665,3.0847137235105038,142.50892412662506
-131.91497325,20960,212,,98,48.05,,376,,,,,,
-133.41894743,21152,211,,99,48.65,,380,0.0005,0.04883348289877176,5056,-44.956090688705444,3.0724837221205235,148.49858501553535
-134.7394236,21280,212,,100,48.28,,384,0.0005,0.04709606908727437,5120,-42.9573695063591,3.081526044756174,136.5759373307228
-136.64353024,21440,213,,100,49.35,,388,,,,,,
-137.04242197999997,21696,210,29.394500855643283,102,48.83,25.081288345226636,392,0.0005,0.04549093678360805,5184,-46.41363477706909,2.9077001977711916,130.0531556904316
-138.99496919999999,21856,211,,103,49.68,,396,0.0005,0.04386895912466571,5248,-46.372347712516785,3.1667193304747343,140.4081510603428
-138.43328218,21984,212,,103,49.3,,400,,,,,,
-137.20911715,22080,210,,104,49.47,,404,0.0005,0.042266616073902696,5312,-50.59787845611572,3.188420921564102,131.11109614372253
-139.3815463,22272,211,,105,49.13,,408,,,,,,
-138.77892579999997,22624,211,,106,48.78,,412,0.0005,0.039322121418081224,5440,-55.07133102416992,3.2615435421466827,140.29895076155663
-138.85898844000002,22848,213,,107,49.71,,416,0.0005,0.03782684652833268,5504,-50.333725571632385,3.2111031282693148,133.0312981903553
-139.41723127,23136,212,,109,49.9,,420,0.0005,0.03652754955692217,5568,-51.350271582603455,3.165312547236681,113.15284982323647
-138.98805169999997,23424,213,,109,49.9,,424,0.0005,0.03524051763815805,5632,-56.8548868894577,3.2658337987959385,126.27199584245682
-139.13266202,23488,214,,109,50.04,,428,,,,,,
-138.28739375000004,23712,214,,110,49.96,,432,0.0005,0.033914499857928604,5696,-56.271593272686005,3.41476889885962,142.57975536584854
-137.9266697,23840,214,13.865040123852804,111,49.34,22.060742711655575,436,0.0005,0.032692225358914584,5760,-55.99936228990555,3.3751378916203976,124.70837068557739
-136.05786741999998,23968,215,,111,48.24,,440,,,,,,
-133.38653965,24320,213,,113,48.0,,444,0.0005,0.031539780349703506,5824,-58.05203938484192,3.608868522569537,150.8900190591812
-133.31795456,24448,214,,114,47.98,,448,0.0005,0.030400727613596246,5888,-58.85480284690857,3.4613168444484472,126.65422421693802
-134.65307761,24608,213,,115,48.32,,452,0.0005,0.02933570512686856,5952,-55.69069576263428,3.4901613146066666,131.13000950217247
-135.11820483,24960,215,,115,49.19,,456,0.0005,0.028357511677313596,6016,-55.892012774944305,3.5294554829597473,142.75428374111652
-134.80821484,25024,215,26.996592534353926,115,48.78,24.774143633628658,460,,,,,,
-134.79723653,25216,214,,117,48.66,,464,0.0005,0.027429415902588516,6080,-55.89340257644653,3.5472935251891613,148.5716010928154
-135.58112441,25408,215,,118,49.72,,468,0.0005,0.026497197890421376,6144,-60.34204876422882,3.525503780692816,125.63984736800194
-137.98661919,25600,213,,119,50.51,,472,,,,,,
-137.21357646999996,25824,215,,120,49.21,,476,0.0005,0.025629681738791987,6208,-56.013519406318665,3.5828828252851963,135.1825785934925
-136.21687076999999,26368,214,,122,48.62,,480,0.0005,0.023906835849629715,6336,-59.93646728992462,3.481021486222744,122.3136196732521
-135.43943838999996,26624,213,,124,49.16,,484,0.0005,0.02310111842234619,6400,-62.22523754835129,3.792833399027586,131.50658413767815
-136.45271087999998,26720,213,,124,48.83,,488,0.0005,0.022339091665344313,6464,-62.73143571615219,3.8136955089867115,130.5383810698986
-136.68228775,26912,214,,125,49.1,,492,0.0005,0.021580235479632393,6528,-65.93180072307587,3.79570385068655,115.54360371828079
-137.70178836000002,27072,215,,125,49.63,,496,,,,,,
