steps,reward,ego_speed,network_speed
512,-125.56780884646761,27.639441753909534,21.480489460784177
1024,-227.6871433045779,24.558274116991942,21.32638527550264
1536,-153.99217364402554,27.07839316063514,21.847628169544905
2048,-110.42097271285725,27.274793100918384,21.52451371491883
2560,-131.06286557246744,29.801153104149975,23.308735820536455
3072,-169.92332873380286,12.784467840250485,17.461391341793117
3584,-95.76717138389982,16.404153467479098,20.4297504293382
4096,-204.00731265750687,6.629886813175096,15.789879995178257
4608,-232.56155299182896,6.8635025116859065,15.666262912165974
5120,-198.75136332209212,9.344233223028796,17.786218381016987
5632,-195.55819109390455,6.0159588785561455,16.18851249127856
6144,-141.33709103455928,12.475478989371204,18.776022486307888
6656,-228.2727612513631,9.622522010830775,17.570523459402814
7168,-150.5050692747226,23.351077801802255,20.072690156663658
7680,-176.36396143286373,17.23460715118201,20.227856370257342
8192,-183.68527925961837,10.296168721714492,18.785319887977277
8704,-226.9104281333588,12.354224510239193,18.709927221397276
9216,-211.72334022130374,15.0429917336621,18.534809286115543
9728,-122.1537120219857,21.282283205247406,19.249182395569132
10240,-141.95339130297413,25.650147935792386,21.404330058587664
10752,-208.30591083828156,28.77406713403144,22.728340266704304
11264,-125.85106891353642,18.82172784835298,20.601592426018392
11776,-235.8928115284804,15.152750093341172,20.02497594084646
12288,-186.1322690114867,18.424188575863894,20.178138056023414
12800,-109.09825693701592,28.52566626617463,22.435511061154436
13312,-177.9773797648818,28.47877063765388,21.389609767393566
13824,-151.98836837027775,23.370502163503314,21.625572158992593
14336,-128.52196044370484,24.052137633720115,20.500958419430894
14848,-237.8436658230056,16.10651744693547,18.348284520080558
15360,-108.04310294999016,29.41537848984041,20.48540354933941
15872,-158.9019832487076,26.747829943268595,22.474952772746008
16384,-153.2943759738844,12.693603930007349,19.718994642077647
16896,-192.21486210512188,18.517002426137477,19.58358090342129
17408,-150.92393740687572,20.323660470781334,20.420639721177658
17920,-175.96725312902376,15.155779518721708,20.618123462489404
18432,-119.39343847351316,26.387903116738062,21.42126232927387
18944,-143.8355682199419,29.611010791733165,21.62652396812212
19456,-176.8515510496579,23.378316242455252,20.670036412222537
19968,-130.04786081519245,19.025146758925768,17.99359285080349
20480,-152.8023110728348,24.135137153682077,21.471912873896642
20992,-168.2537092577477,29.266281241774735,22.216869212799267
21504,-158.5802093334619,14.662981375484797,19.06304886044905
22016,-123.8117546637233,20.1772302946757,21.049992704992206
22528,-176.12022481061368,29.671617659605495,22.628555161929008
23040,-154.54014970962575,17.912207007162785,21.556462128549637
23552,-164.76072798092213,28.351594087681786,21.114747505050442
24064,-171.51598751483007,12.184546640663854,18.347060212054984
24576,-110.61701697700583,28.73188855416177,22.20416318087517
25088,-160.49134968239315,18.039218946623926,20.209506933810477
25600,-125.59983923333239,19.612595465697204,19.88404820086255
26112,-127.85240558231484,21.445013449056635,20.74598793089526
26624,-116.21524327014451,23.869416447935365,20.35435200373247
27136,-156.16811161036367,12.78577905094104,18.229200027719155
27648,-206.82243810312443,9.550645866582666,18.172160847947758
28160,-156.44489686235102,16.311662613007172,19.411011801079393
28672,-155.2555155775176,13.832954234477118,18.945183191129757
29184,-121.28726563615412,22.47741174513955,20.980317536962545
29696,-125.58276581345567,18.731337397968137,21.18170456531299
30208,-197.40726352257195,8.86376913258546,17.035850658145847
30720,-137.76384910537723,20.768640331947484,19.059807644149963
31232,-156.5032723107507,12.943834074742536,18.113769491330032
31744,-231.18774749669348,7.579832997159481,15.47689349581559
32256,-135.01822838086758,16.728256474205313,20.906367278586004
32768,-188.6039326165271,9.737711303116171,18.035714875515854
33280,-122.37398537088086,20.415536508346165,19.689193556453837
33792,-121.2753598056301,20.080788143861422,21.76307615519624
34304,-122.96951249999228,20.34655594172452,19.980508896987065
34816,-124.24287358424053,18.618408004020043,21.37335754720148
35328,-144.97246371663175,19.057348920067767,20.491233801312895
35840,-84.4719038455122,13.051918069390956,18.51326297133815
36352,-178.59390002709654,11.967135103647154,18.652391001678758
36864,-159.42757251038222,14.400618599959618,18.76572214249852
37376,-171.4575314264727,11.806716951754568,19.077917055926903
37888,-167.59926422486853,12.33782369472899,17.575347605518896
38400,-133.0147804447617,17.496851889373314,19.020931996683608
38912,-157.86926570111982,14.753241620405895,19.718479541712025
39424,-113.42860989924732,23.2941663876236,19.670019352630014
39936,-204.8211519676341,8.123363615627111,16.614660933251276
40448,-153.31409545041615,11.999033477922168,17.836835565661307
40960,-151.73857479743225,14.222247488254434,18.26105407016346
41472,-122.38211773384326,21.4760706200684,19.406154418789335
41984,-232.14374435976947,6.8067577010353135,15.847047530074596
42496,-178.70374171540152,9.712343256384635,18.143292436367776
43008,-139.99159436835583,18.812086727310597,19.58421865372483
43520,-162.26499611121963,12.891252031310069,18.077431941002136
44032,-137.78360083996063,17.46450882827943,20.47031154124525
44544,-107.2264275436583,15.594468210461883,18.127273194568584
45056,-151.84856787506425,12.644303984065205,18.996054904950274
45568,-128.4069412187767,21.874067410260192,20.391788904498547
46080,-157.8789839147934,8.775609346214006,17.216458655411575
46592,-148.0306216239422,19.23704252738724,18.653489560768435
47104,-175.53911982124782,23.91575296659466,22.51745311131764
47616,-128.85090315298982,19.979805388795572,19.70732447021017
48128,-99.76529747476285,17.65729561253306,19.93131568545498
48640,-156.9044828029704,11.721021350837459,18.464336454100398
49152,-147.6675642291369,11.621527731709346,18.883301082757963
49664,-117.93302138243419,20.529385405269117,19.789428184404528
50176,-154.08275871290238,20.51026294672478,19.725365145243096
50688,-125.25033335180385,18.63620328473059,21.8359369492625
51200,-131.1298669233236,23.701289690872702,20.58154313993484
51712,-175.1366485556624,10.664415530177497,19.411749534274733
52224,-231.4543535942077,6.932460164230229,17.37605008921926
52736,-120.65167774009694,19.532952655884426,18.537219660777552
53248,-161.07153927452015,12.695632314017013,18.134376156727892
53760,-172.00040348040127,9.857132215577906,18.440222970135995
54272,-157.73346817189253,12.582891982997541,18.94138748286504
54784,-150.15721484116952,21.40501190097864,20.463209200516914
55296,-151.42679321485406,13.398750203228934,19.309010701818103
55808,-125.47926164096002,22.012897155390938,20.689724280800426
56320,-170.8800310896538,17.219611717390197,19.811769640629144
56832,-129.30261081752846,18.36703336994201,21.08027411295691
57344,-204.86754379752242,8.537476386744604,18.162845010948818
57856,-181.11520717048717,10.891660206869059,16.830511025613568
58368,-230.38223570284632,7.789467402467123,16.855302748708354
58880,-144.64645869685543,14.36414904019995,18.900171511032607
59392,-150.8252155320922,12.300009379282793,18.833437370661557
59904,-151.89653813764406,11.908092259674739,18.26475197852492
60416,-135.2922839456187,18.672822023423254,19.56568412464824
60928,-182.05317456418646,9.190016501513163,17.580511906626963
61440,-132.60073450077766,18.128180210333596,19.631603808217932
61952,-200.62106302757388,8.774511819848934,18.65045165452106
62464,-124.8280078448825,15.570583040873467,18.941222607014595
62976,-151.2251503600355,13.90768095646603,17.88061968204283
63488,-174.31083491150574,15.735625526457737,18.78805428490043
64000,-111.38435939501967,14.680467707160426,19.54379909477953
64512,-150.223770050555,12.658967409143312,18.893670008959603
65024,-129.5548366114944,18.355422491555988,19.279945183132558
65536,-153.31437327065237,18.243540012724168,21.523644108275267
66048,-70.5330218512581,14.744892811564265,18.824076520043796
66560,-91.89732895547056,14.584066381142605,19.203095560824444
67072,-113.06691197649353,10.301266404437833,17.174872212407482
67584,-129.0911065209779,13.284147548343803,18.190101627094077
68096,-184.57067972848992,11.480991603209318,18.600325014513903
68608,-147.29305961399558,18.54300937067384,19.078741930568754
69120,-125.16097818931604,18.47657470362198,20.51776221470962
69632,-156.1007453308443,6.778286599790823,17.21214515439144
70144,-73.84829500343386,7.485988367866168,16.146313112825478
70656,-71.32969950964791,14.581041117965965,19.37325430829807
71168,-183.20298843131133,9.919911905049407,18.933333104672425
71680,-131.182637476185,11.843098326763144,17.952835570881767
72192,-141.40745259359406,9.082774344539551,16.489931542478782
72704,-94.44796267929638,10.945965167450897,17.94811379254043
73216,-120.89050343535658,14.64073388268526,18.101853846614933
73728,-143.2746325963719,10.921177356881579,17.484530886404674
74240,-111.08911752016152,13.483616516706768,18.049878734087937
74752,-152.94642392554192,8.509935120807874,17.24004084013376
75264,-60.431843346583626,11.162608489301977,18.091620228795243
75776,-125.32481870855963,14.009980199475716,19.541804101807983
76288,-51.74003700456904,8.954746316822742,17.6094243227422
76800,-78.94639057638571,13.222562757674362,18.512514464459564
77312,-139.94304474432147,16.842395664458955,20.545697660024047
77824,-63.79509290138788,7.837370089004344,17.24889848093472
78336,-127.37317145399399,8.29832568208482,15.646722984875423
78848,-99.42800944094027,8.92479943836845,16.217568973959033
79360,-110.9093185215938,13.17066043782436,18.936785012731004
79872,-96.59112591807161,12.15193031335717,18.427593252009803
80384,-212.97198203553754,20.490135416715887,21.00230933368189
80896,-64.66753009913475,10.4600170671648,17.28207915542727
81408,-138.59238023523216,12.684435581069259,16.200323439252184
81920,-67.92091066985236,10.643189735251426,18.061963786010388
82432,-131.79799698478544,16.559295484027597,20.3404555975591
82944,-52.73391194725036,13.974912414891625,18.838079532365335
83456,-108.65663005855849,10.097927677117557,16.72651491863385
83968,-132.6174359456778,12.429787940879011,17.19745488678062
84480,-182.06262340392564,13.336504821621503,17.27092116581623
84992,-92.29294625176527,12.697213789290656,18.09449919946756
85504,-101.33099855242762,9.634676525132866,16.929343362423538
86016,-143.26282071732692,20.86584733704664,21.384140210623222
